ticker,price,52w_high,52w_low,ex_dividend_date,dividend_payment_date,last_dividend_date,last_dividend_per_share,currency,exchange
DTF,11.5,11.52,10.95,2026-02-17,2019-03-29,2026-01-15,0.033,USD,NYQ
EAD,6.89,7.18,5.89,2026-02-12,2019-03-01,2026-01-12,0.054,USD,NYQ
ECC,4.56,8.86,4.534,2026-03-11,2019-03-29,2026-02-09,0.14,USD,NYQ
EDF,5.155,5.28,4.14,2026-02-12,,2026-01-12,0.06,USD,NYQ
EFR,11.06,13.16,10.4,2026-02-17,2019-01-10,2026-01-15,0.077,USD,NYQ
EFT,11.34,13.36,10.44,2026-02-17,2019-01-10,2025-12-30,0.086,USD,NYQ
EIC,10.03,16.23,9.91,2026-03-11,,2026-01-12,0.11,USD,NYQ
EIM,10.0057,10.54,9.27,2026-02-17,2019-01-31,2026-01-15,0.051,USD,NYQ
ENB,51.09,51.2298,39.73,2026-02-17,2026-03-01,2025-08-15,0.683,USD,NYQ
EOI,20.59,21.58,15.5,2026-02-17,2019-01-31,2026-01-15,0.134,USD,NYQ
EOS,22.307,24.69,17.56,2026-02-17,2019-01-31,2026-01-15,0.152,USD,NYQ
EOT,17.44,17.98,15.41,2026-02-17,2019-01-31,2026-01-15,0.068,USD,NYQ
EQNR,27.915,28.27,21.41,2026-02-17,2026-05-27,2025-11-14,0.37,USD,NYQ
EQT,55.46,62.23,43.57,2026-02-17,2026-03-02,2025-11-05,0.165,USD,NYQ
ERC,9.54,9.78,8.44,2026-02-12,2019-03-01,2026-01-12,0.072,USD,ASE
ERH,12.1226,13.07,9.98,2026-02-12,2019-03-01,2026-01-12,0.084,USD,NYQ
ETB,15.53,15.58,11.03,2026-02-17,2019-01-31,2026-01-15,0.106,USD,NYQ
ETD,24.77,31.41,21.67,2026-02-11,2026-02-25,2025-11-12,0.39,USD,NYQ
ETG,23.3204,23.67,15.04,2026-02-17,2019-01-31,2026-01-15,0.129,USD,NYQ
ETJ,8.8319,9.35,7.4,2026-02-17,2019-01-31,2026-01-15,0.065,USD,NYQ
ETO,30.2199,31.11,20.05,2026-02-17,2019-01-31,2026-01-15,0.173,USD,NYQ
ETR,100.08,100.32,75.57,2026-02-09,2026-03-02,2026-02-09,0.64,USD,NYQ
ETV,14.75,14.83,10.64,2026-02-17,2019-01-31,2026-01-15,0.099,USD,NYQ
ETW,9.54,9.57,6.93,2026-02-17,2019-01-31,2026-01-15,0.066,USD,NYQ
ETX,18.76,20.0,17.63,2026-02-17,2019-01-31,2026-01-15,0.078,USD,NYQ
ETY,15.04,16.03,11.82,2026-02-17,2019-01-31,2026-01-15,0.099,USD,NYQ
EVG,11.05,11.45,10.25,2026-02-17,2019-01-31,2026-01-15,0.075,USD,NYQ
EVT,26.375,26.46,19.2,2026-02-17,2019-01-31,2026-01-15,0.165,USD,NYQ
EXG,9.71,9.78,6.74,2026-02-17,2019-01-31,2026-01-15,0.066,USD,NYQ
FTS,54.7,55.34,42.95,2026-02-17,2026-03-01,2025-08-19,0.445,USD,NYQ
GDV,29.209,29.45,20.1,2026-02-12,2019-03-22,2026-01-15,0.15,USD,NYQ
GGN,5.625,5.77,3.68,2026-02-12,2019-03-22,2026-01-15,0.03,USD,NYQ
GGT,4.18,4.94,3.75,2026-02-12,2018-12-14,2026-01-15,0.07,USD,NYQ
GHY,12.909,13.74,11.31,2026-02-12,2019-02-28,2025-12-26,0.105,USD,NYQ
