"Date","Price","Open","High","Low","Vol.","Change %"
"2009-11-30","1,095.60","1,091.10","1,097.20","1,086.20","","0.38%"
"2009-11-27","1,091.50","1,105.50","1,105.50","1,083.70","","-1.72%"
"2009-11-25","1,110.60","1,106.50","1,111.20","1,104.80","","0.44%"
"2009-11-24","1,105.70","1,105.80","1,107.60","1,097.60","","-0.05%"
"2009-11-23","1,106.20","1,094.90","1,112.40","1,094.90","","1.36%"
"2009-11-20","1,091.40","1,094.70","1,094.70","1,086.80","","-0.32%"
"2009-11-19","1,094.90","1,106.40","1,106.40","1,088.40","","-1.34%"
"2009-11-18","1,109.80","1,109.40","1,111.10","1,102.70","","-0.05%"
"2009-11-17","1,110.30","1,109.20","1,110.50","1,102.20","","0.09%"
"2009-11-16","1,109.30","1,094.10","1,113.70","1,094.10","","1.44%"
"2009-11-13","1,093.50","1,087.60","1,097.80","1,085.30","","0.58%"
"2009-11-12","1,087.20","1,098.30","1,102.00","1,084.90","","-1.03%"
"2009-11-11","1,098.50","1,096.00","1,105.40","1,093.80","","0.50%"
"2009-11-10","1,093.00","1,091.90","1,096.40","1,087.40","","-0.01%"
"2009-11-09","1,093.10","1,072.30","1,093.20","1,072.30","","2.23%"
"2009-11-06","1,069.30","1,065.00","1,071.50","1,059.30","","0.25%"
"2009-11-05","1,066.60","1,047.30","1,066.70","1,047.30","","1.92%"
"2009-11-04","1,046.50","1,047.10","1,061.00","1,045.20","","0.11%"
"2009-11-03","1,045.40","1,040.90","1,046.40","1,033.90","","0.24%"
"2009-11-02","1,042.90","1,036.20","1,052.20","1,029.40","","0.65%"
"2009-10-30","1,036.20","1,065.40","1,065.40","1,033.40","","-2.80%"
"2009-10-29","1,066.10","1,043.70","1,066.80","1,043.70","","2.25%"
"2009-10-28","1,042.60","1,061.50","1,063.30","1,042.20","","-1.96%"
"2009-10-27","1,063.40","1,067.50","1,072.50","1,060.60","","-0.34%"
"2009-10-26","1,067.00","1,080.40","1,091.80","1,065.20","","-1.17%"
"2009-10-23","1,079.60","1,095.60","1,095.80","1,075.50","","-1.22%"
"2009-10-22","1,092.90","1,081.00","1,095.20","1,074.30","","1.06%"
