ticker_yf,Symbol,Company Name,exchange,market,Currency,last_close,max_drawdown,EMA_20,EMA_52,EMA_200,MACD,MACD_signal,RSI_14,dividend_ttm,payments_ttm,div_freq,last_div_date,div_yield_ttm,next_earnings_date,eps_estimate,reported_eps,surprise_pct
PHK,PHK,Pimco High Income Fund,NYSE,NYSE,USD,4.909999847412109,-0.10323891153329112,4.936587497752337,4.911392394147687,4.878356385851896,0.011484035811720972,0.016745366829714906,40.90907120501461,0.5760000000000001,12.0,Monthly,2026-02-12,0.11731161260699217,,,,
FCT,FCT,First Trust Senior Floating Rate Income Fund II Common Shares of Beneficial Interest,NYSE,NYSE,USD,9.9399995803833,-0.1327602968359054,9.969600000560721,9.936957985712844,9.956551707223518,-0.01612378890636279,-1.0492788019700241e-05,31.707197934475417,1.1640000000000001,12.0,Monthly,2026-02-02,0.11710262063764741,,,,
ACRE,ACRE,Ares Commercial Real Estate Corporation Common Stock,NYSE,NYSE,USD,5.170000076293945,-0.3137254773630904,5.1883354152007115,5.0694094309941615,4.8735532556436745,0.09710454681432967,0.07812754456527776,58.823534911617976,0.6,4.0,Quarterly,2025-12-31,0.11605415689473317,,0.32,0.01,-96.91
BGH,BGH,Barings Global Short Duration High Yield Fund Common Shares of Beneficial Interests,NYSE,NYSE,USD,14.949999809265137,-0.16177389853596402,15.006871889094652,15.092879261862238,15.315958783770503,-0.057385805054121164,-0.04634021648790869,42.18746274706149,1.705,12.0,Monthly,2026-01-21,0.11404682419750538,,,,
KRP,KRP,Kimbell Royalty Partners Common Units Representing Limited Partner Interests,NYSE,NYSE,USD,14.079999923706055,-0.29221182575222626,13.435747169561584,12.962757046771241,13.345535897288574,0.4690497886723257,0.4141923881583764,75.65221032938291,1.6,4.0,Quarterly,2025-11-17,0.11363636425211411,,0.42,0.55,30.25
HIO,HIO,"Western Asset High Income Opportunity Fund, Inc. Common Stock",NYSE,NYSE,USD,3.809999942779541,-0.14043587071501784,3.771821790158035,3.767136974465464,3.839125977109374,0.015095112862226756,0.010500203188320567,70.0,0.43199999999999994,12.0,Monthly,2026-01-23,0.11338582847453782,,,,
THQ,THQ,abrdn Healthcare Opportunities Fund Shares of Beneficial Interest,NYSE,NYSE,USD,19.059999465942383,-0.27609106811614303,19.206848546559296,19.084577687628496,18.659478769940097,-0.0930067273204429,-0.05020992407274903,37.07866051458333,2.16,12.0,Monthly,2026-01-23,0.11332634105576053,,,,
PAXS,PAXS,PIMCO Access Income Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,15.829999923706055,-0.12923079270582938,15.841417117991597,15.78561241353608,15.751209498959517,0.03561998518156706,0.05201457249807686,46.42855115490943,1.7879999999999998,12.0,Monthly,2026-02-12,0.11295009530116287,,,,
AOD,AOD,abrdn Total Dynamic Dividend Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,10.359999656677246,-0.1625281756414133,10.101868402827352,9.9222896194291,9.422409658555754,0.11005590188700154,0.07833902519468795,76.00002543137978,1.17,12.0,Monthly,2026-01-23,0.11293436667692448,,,,
BWG,BWG,BrandywineGLOBAL Global Income Opportunities Fund Inc.,NYSE,NYSE,USD,8.609999656677246,-0.11929824072189243,8.550027159686367,8.512537756391977,8.46808395995179,0.032012933608186245,0.02324941387591946,64.10250767218085,0.96,12.0,Monthly,2026-01-23,0.11149826228570156,,,,
NMAI,NMAI,Nuveen Multi,NYSE,NYSE,USD,13.680000305175781,-0.1515390737752511,13.55384093387239,13.329568124428752,12.933186896103722,0.15751711369316013,0.14051901314807413,62.595422070216664,1.522,10.0,Irregular,2026-02-13,0.1112573074595734,,,,
AVK,AVK,Advent Convertible and Income Fund,NYSE,NYSE,USD,12.65999984741211,-0.18551665907632953,12.702454132246892,12.675611466411834,12.457216111098964,-0.0001625569476519928,0.008868735222554991,44.56519710995242,1.4040000000000001,12.0,Monthly,2026-02-13,0.11090047527030567,,,,
MSIF,MSIF,"MSC Income Fund, Inc. Common Stock",NYSE,NYSE,USD,12.989999771118164,-0.3398220140286662,13.11594595658067,13.26620811557883,14.212995209786625,-0.0999076911142538,-0.09130901121475575,42.180105925519484,1.44,4.0,Quarterly,2025-12-31,0.11085450541744285,,0.36,0.35,-1.41
RWT,RWT,"Redwood Trust, Inc. Common Stock",NYSE,NYSE,USD,6.590000152587891,-0.2589820454387277,5.806541627324045,5.687520918495684,5.759223845081794,0.12757148896011827,0.03748871793093453,65.39924616177625,0.72,4.0,Quarterly,2025-12-23,0.10925644663562811,,-0.07,-0.44,-493.79
PDO,PDO,PIMCO Dynamic Income Opportunities Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,14.09000015258789,-0.13068182972713938,14.037810300848221,13.977337032859298,13.841959135341883,0.04248206514147057,0.036253852886087026,63.82979155126199,1.536,12.0,Monthly,2026-02-12,0.10901348356038769,,,,
WPP,WPP,WPP plc American Depositary Shares,NYSE,NYSE,USD,18.760000228881836,-0.6424923446937016,19.625713307000684,20.75072545059362,26.556732806754955,-0.9291747835883477,-0.8011449565290518,31.57894961672538,2.041,2.0,Semi-Annual,2025-10-10,0.1087953078410837,,1.07,,
HQL,HQL,abrdn Life Sciences Investors Shares of Beneficial Interest,NYSE,NYSE,USD,16.979999542236328,-0.23826212075240694,16.95323769832766,16.865928662708633,15.54321908772162,-0.010368374183791218,0.006305653187633842,42.162130953510136,1.8199999999999998,4.0,Quarterly,2025-11-21,0.10718492632893789,,,,
CHCT,CHCT,Community Healthcare Trust Incorporated Common Stock,NYSE,NYSE,USD,17.639999389648438,-0.3308194656585176,17.458628374128928,16.728745535671486,16.34807750965204,0.3625387430945963,0.3949353474418035,60.48108479055527,1.886,4.0,Quarterly,2025-11-07,0.10691610347258564,,0.24,-0.32,-233.33
TSLX,TSLX,"Sixth Street Specialty Lending, Inc. Common Stock",NYSE,NYSE,USD,19.229999542236328,-0.23386457171398978,20.873497746245892,21.453141620122103,22.25372985517705,-0.571615145202518,-0.3621985819459287,16.706422076816565,2.05,8.0,Irregular,2025-12-15,0.10660426670824547,,0.54,0.55,2.61
STWD,STWD,"STARWOOD PROPERTY TRUST, INC. Starwood Property Trust Inc.",NYSE,NYSE,USD,18.06999969482422,-0.16356692942964457,18.15090630333494,18.269982279848442,18.920994805788855,-0.0525266083468523,-0.04894514468894688,48.543704602165676,1.92,4.0,Quarterly,2025-12-31,0.1062534605659094,,0.51,0.51,0.25
PCN,PCN,Pimco Corporate & Income Strategy Fund Common Stock,NYSE,NYSE,USD,12.779999732971191,-0.1472081028706842,12.807749560517463,12.789529564278244,12.918924832024503,0.018643432019954886,0.02439774780429956,47.9999694826547,1.356,12.0,Monthly,2026-02-12,0.10610328860192761,,,,
GCV,GCV,"Gabelli Convertible and Income Securities Fund, Inc. (The) Common Stock",NYSE,NYSE,USD,4.53000020980835,-0.17929293719886108,4.446860849378322,4.350307558539996,4.139549863682241,0.05673827047132196,0.05920630779980924,65.30612443497259,0.48,4.0,Quarterly,2025-12-12,0.10596025999308006,,,,
RYN,RYN,Rayonier Inc. REIT Common Stock,NYSE,NYSE,USD,23.600000381469727,-0.24610477733426817,22.807701139365708,22.797119428935243,23.707598391282723,-0.016087765925941966,0.005460421184010843,53.04878970683842,2.492,5.0,Irregular,2025-12-10,0.10559321863217727,,0.11,0.01,-90.93
VLT,VLT,Invesco High Income Trust II,NYSE,NYSE,USD,11.0600004196167,-0.13484160591847683,11.089094455968075,11.126213254133472,11.06422469677139,-0.03816161903347215,-0.027956478341001536,41.46348838615735,1.142,12.0,Monthly,2026-01-15,0.10325496895772972,,,,
ARDC,ARDC,"Ares Dynamic Credit Allocation Fund, Inc. Common Shares",NYSE,NYSE,USD,13.229999542236328,-0.1950423865622125,13.375865784978885,13.457138520889695,13.874870182071822,-0.04878389754080459,-0.030311448408473066,30.508343072170845,1.356,12.0,Monthly,2026-01-20,0.10249433461210757,,,,
HYI,HYI,Western Asset High Yield Opportunity Fund Inc. Common Stock,NYSE,NYSE,USD,11.220000267028809,-0.10720134132494707,11.159582471178526,11.176363295073264,11.488709884197977,0.01369125916452596,0.008547776447802104,68.00016784796027,1.1400000000000001,12.0,Monthly,2026-01-23,0.10160427565674969,,,,
NPFD,NPFD,Nuveen Variable Rate Preferred & Income Fund Common Shares,NYSE,NYSE,USD,19.56999969482422,-0.09963483775746351,19.507237578326656,19.425295027843493,19.35198534792403,0.11830061258236668,0.09714118439229022,66.9999427797593,1.983,12.0,Monthly,2026-02-13,0.1013285657088924,,,,
SABA,SABA,Saba Capital Income & Opportunities Fund II Shares of Beneficial Interest,NYSE,NYSE,USD,8.010000228881836,-0.15217387473425403,8.127985107874204,8.324047783061516,8.711596269573036,-0.0962037770714872,-0.0969075357646385,21.875158324516832,0.796,13.0,Monthly,2026-02-10,0.0993757774350424,,,,
STLA,STLA,Stellantis N.V. Common Shares,NYSE,NYSE,USD,7.75,-0.4876847156745199,8.944512920074814,9.807771750021539,10.485707490545504,-0.7560847258913519,-0.590370569284263,27.917611248209397,0.77,1.0,Annual,2025-04-23,0.09935483870967741,,,,
NCV,NCV,Virtus Convertible & Income Fund Common Shares of Beneficial Interest,NYSE,NYSE,USD,16.530000686645508,-0.17124731665677928,16.111050679926045,15.767990988726549,15.006020098515888,0.23698635498339016,0.1948582544506397,63.1818278367779,1.6320000000000001,12.0,Monthly,2026-02-12,0.09872957847596966,,,,
GUT,GUT,Gabelli Utility Trust (The) Common Stock,NYSE,NYSE,USD,6.079999923706055,-0.08839779636242606,6.05288561974839,6.048688396713746,5.901833944782246,-0.0016370329981141296,-0.006758310139044883,49.05658170563838,0.6000000000000001,12.0,Monthly,2026-02-12,0.09868421176463947,,,,
TWN,TWN,"Taiwan Fund, Inc. (The) Common Stock",NYSE,NYSE,USD,63.08000183105469,-0.2918587077591389,58.96991101711114,57.20329382150615,51.31024136530475,1.5969542887238575,1.1038848179535226,83.87097114437026,6.2,1.0,Annual,2025-12-29,0.09828788554263644,,,,
GBAB,GBAB,Guggenheim Taxable Municipal Bond & Investment Grade Debt Trust Common Shares of Beneficial Interest,NYSE,NYSE,USD,15.420000076293945,-0.08742134735830409,15.212452408943435,15.190252257173013,15.26864695651414,0.0712899582170099,0.03384240871564748,70.64220825637584,1.512,12.0,Monthly,2026-02-13,0.09805447422302446,,,,
WU,WU,Western Union Company (The) Common Stock,NYSE,NYSE,USD,9.600000381469727,-0.3218588475001709,9.685703674455118,9.433753502722798,9.211636773054932,0.13808890879913172,0.13275296338569512,52.19299016126294,0.94,4.0,Quarterly,2025-12-22,0.09791666277580806,,0.42,0.42,-0.65
