Date/Time,Electricity:Facility [kW](Hourly),Fans:Electricity [kW](Hourly),Cooling:Electricity [kW](Hourly),Heating:Electricity [kW](Hourly),InteriorLights:Electricity [kW](Hourly),InteriorEquipment:Electricity [kW](Hourly),Gas:Facility [kW](Hourly),Heating:Gas [kW](Hourly),InteriorEquipment:Gas [kW](Hourly),Water Heater:WaterSystems:Gas [kW](Hourly)
 06/10  06:00:00,1022.122649,101.2470396,518.647966,0,65.15725541,176.8892702,302.1012813,265.1168424,28.3233498,8.661089154
 06/10  07:00:00,1148.952445,108.6032873,497.2309173,0,109.6827682,220.9681645,362.4636387,311.3168123,42.48502471,8.661801631
 06/10  08:00:00,1143.632417,107.0457337,484.1828403,0,109.6827682,220.9681645,348.4859479,283.1536028,56.64669961,8.685645457
 06/10  09:00:00,1246.445115,110.5112255,473.9379736,0,131.9455246,266.9558176,317.0099926,257.1321539,42.48502471,17.39281394
 06/10  10:00:00,1256.664415,111.0951435,466.6193179,0,131.9455246,274.4530929,324.5340296,245.0003285,70.80837451,8.725326667
 06/10  11:00:00,1250.051009,111.9870972,461.2702977,0,131.9455246,274.4530929,320.4372137,232.19455,70.80837451,17.4342892
 06/10  12:00:00,1219.231112,113.0978509,457.4460048,0,131.9455246,274.4530929,307.5059167,219.2678717,70.80837451,17.42967057
 06/10  13:00:00,1220.15813,114.4481581,448.1001856,0,131.9455246,266.9558176,278.9571135,204.8779148,56.64669961,17.43249915
 06/10  14:00:00,1211.126238,116.4841995,439.9202271,0,131.9455246,266.9558176,240.3168563,180.4024482,42.48502471,17.42938344
 06/10  15:00:00,1129.836592,101.2570867,447.6378427,0,109.6827682,212.5458892,188.1351261,122.7615894,56.64669961,8.726837077
 06/10  16:00:00,1148.895572,101.4602511,454.6837004,0,109.6827682,220.0431645,215.1892546,112.7881174,84.97004941,17.43108781
 06/10  17:00:00,1101.075825,101.9052048,455.2751127,0,109.6827682,220.0431645,207.8066124,105.4501618,84.97004941,17.38640123
 06/10  18:00:00,1068.986579,102.2296161,455.0742152,0,100.1506573,199.1109338,213.4894718,128.4994224,84.97004941,0.02
 06/10  19:00:00,1061.304502,102.3119496,454.8191862,0,100.1506573,191.6136585,200.2367064,134.928195,56.64669961,8.661811807
 06/10  20:00:00,960.847408,101.7089361,461.6365096,0,55.62514452,124.5586935,262.7757116,197.4670881,56.64669961,8.661923939
 06/10  21:00:00,968.578361,101.4423009,476.7668972,0,55.62514452,124.5586935,271.1245529,219.9777686,42.48502471,8.661759648
 06/10  22:00:00,957.1135213,101.3362873,483.3450723,0,46.09303362,124.5586935,279.5831043,242.5987452,28.3233498,8.661009248
 06/10  23:00:00,942.3527638,101.2773878,490.3817857,0,46.09303362,124.5586935,279.1787321,256.3553428,14.1616749,8.661714387
 06/10  00:00:00,917.4439147,101.2489804,497.508605,0,46.09303362,113.3127805,284.2811419,269.9555046,5.664669961,8.660967316
 06/11  01:00:00,903.6321928,101.2470396,502.9910023,0,34.96165543,113.3127805,297.9854978,283.6593996,5.664669961,8.66142822
 06/11  02:00:00,912.2998427,101.2470396,507.690139,0,34.96165543,113.3127805,311.7664397,297.4411573,5.664669961,8.660612472
 06/11  03:00:00,912.4890245,101.2470396,508.8575012,0,34.96165543,113.3127805,314.430619,308.7459491,5.664669961,0.02
 06/11  04:00:00,938.1642432,101.2470396,510.1164909,0,44.49376632,113.3127805,323.5717526,309.2458255,5.664669961,8.661257057
 06/11  05:00:00,951.5704362,101.2470396,511.2896892,0,44.49376632,113.3127805,343.3386509,320.5164871,14.1616749,8.660488813
 06/11  06:00:00,1011.444459,101.2470396,511.5288833,0,54.02587722,176.8892702,296.4226729,259.4381824,28.3233498,8.66114068
